benchmark,duration_ns,uptime_ns,vm_start_unix_ms
reactors,9629149496,533361449,1699619797597
reactors,10388270919,10184669208,1699619797597
reactors,9587520556,20584786928,1699619797597
reactors,7977936427,30190396551,1699619797597
reactors,8436432296,38179132939,1699619797597
reactors,9111729306,46626282605,1699619797597
reactors,7518658544,55751309579,1699619797597
reactors,10534701855,63281326015,1699619797597
reactors,8395074403,73838713413,1699619797597
reactors,8984386106,82249644372,1699619797597
